Name,URI,Region GSS code,Period,Sales volume,Reporting period,Average price All property types,Average price Detached houses,Average price Semi-detached houses,Average price Terraced houses,Average price Flats and maisonettes,Pivotable date
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1970-01,,quarterly,3920,,,,,01/01/1970
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1970-02,,quarterly,3920,,,,,01/02/1970
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1970-03,,quarterly,3920,,,,,01/03/1970
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1970-04,,quarterly,3980,,,,,01/04/1970
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1970-05,,quarterly,3980,,,,,01/05/1970
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1970-06,,quarterly,3980,,,,,01/06/1970
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1970-07,,quarterly,4163,,,,,01/07/1970
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1970-08,,quarterly,4163,,,,,01/08/1970
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1970-09,,quarterly,4163,,,,,01/09/1970
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1970-10,,quarterly,4163,,,,,01/10/1970
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1970-11,,quarterly,4163,,,,,01/11/1970
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1970-12,,quarterly,4163,,,,,01/12/1970
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1971-01,,quarterly,4265,,,,,01/01/1971
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1971-02,,quarterly,4265,,,,,01/02/1971
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1971-03,,quarterly,4265,,,,,01/03/1971
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1971-04,,quarterly,4387,,,,,01/04/1971
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1971-05,,quarterly,4387,,,,,01/05/1971
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1971-06,,quarterly,4387,,,,,01/06/1971
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1971-07,,quarterly,4651,,,,,01/07/1971
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1971-08,,quarterly,4651,,,,,01/08/1971
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1971-09,,quarterly,4651,,,,,01/09/1971
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1971-10,,quarterly,4854,,,,,01/10/1971
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1971-11,,quarterly,4854,,,,,01/11/1971
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1971-12,,quarterly,4854,,,,,01/12/1971
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1972-01,,quarterly,5158,,,,,01/01/1972
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1972-02,,quarterly,5158,,,,,01/02/1972
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1972-03,,quarterly,5158,,,,,01/03/1972
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1972-04,,quarterly,5646,,,,,01/04/1972
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1972-05,,quarterly,5646,,,,,01/05/1972
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1972-06,,quarterly,5646,,,,,01/06/1972
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1972-07,,quarterly,6499,,,,,01/07/1972
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1972-08,,quarterly,6499,,,,,01/08/1972
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1972-09,,quarterly,6499,,,,,01/09/1972
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1972-10,,quarterly,6966,,,,,01/10/1972
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1972-11,,quarterly,6966,,,,,01/11/1972
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1972-12,,quarterly,6966,,,,,01/12/1972
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1973-01,,quarterly,7758,,,,,01/01/1973
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1973-02,,quarterly,7758,,,,,01/02/1973
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1973-03,,quarterly,7758,,,,,01/03/1973
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1973-04,,quarterly,8144,,,,,01/04/1973
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1973-05,,quarterly,8144,,,,,01/05/1973
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1973-06,,quarterly,8144,,,,,01/06/1973
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1973-07,,quarterly,8692,,,,,01/07/1973
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1973-08,,quarterly,8692,,,,,01/08/1973
