"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Percentage change (yearly) All property types","Percentage change (yearly) Detached houses","Percentage change (yearly) Semi-detached houses","Percentage change (yearly) Terraced houses","Percentage change (yearly) Flats and maisonettes","Pivotable date"
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1970-01,,quarterly,4.32,,,,,1970-01-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1970-02,,quarterly,4.32,,,,,1970-02-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1970-03,,quarterly,4.32,,,,,1970-03-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1970-04,,quarterly,4.26,,,,,1970-04-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1970-05,,quarterly,4.26,,,,,1970-05-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1970-06,,quarterly,4.26,,,,,1970-06-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1970-07,,quarterly,7.89,,,,,1970-07-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1970-08,,quarterly,7.89,,,,,1970-08-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1970-09,,quarterly,7.89,,,,,1970-09-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1970-10,,quarterly,6.77,,,,,1970-10-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1970-11,,quarterly,6.77,,,,,1970-11-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1970-12,,quarterly,6.77,,,,,1970-12-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1971-01,,quarterly,8.81,,,,,1971-01-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1971-02,,quarterly,8.81,,,,,1971-02-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1971-03,,quarterly,8.81,,,,,1971-03-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1971-04,,quarterly,10.2,,,,,1971-04-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1971-05,,quarterly,10.2,,,,,1971-05-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1971-06,,quarterly,10.2,,,,,1971-06-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1971-07,,quarterly,11.71,,,,,1971-07-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1971-08,,quarterly,11.71,,,,,1971-08-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1971-09,,quarterly,11.71,,,,,1971-09-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1971-10,,quarterly,16.59,,,,,1971-10-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1971-11,,quarterly,16.59,,,,,1971-11-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1971-12,,quarterly,16.59,,,,,1971-12-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1972-01,,quarterly,20.95,,,,,1972-01-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1972-02,,quarterly,20.95,,,,,1972-02-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1972-03,,quarterly,20.95,,,,,1972-03-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1972-04,,quarterly,28.7,,,,,1972-04-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1972-05,,quarterly,28.7,,,,,1972-05-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1972-06,,quarterly,28.7,,,,,1972-06-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1972-07,,quarterly,39.74,,,,,1972-07-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1972-08,,quarterly,39.74,,,,,1972-08-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1972-09,,quarterly,39.74,,,,,1972-09-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1972-10,,quarterly,43.51,,,,,1972-10-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1972-11,,quarterly,43.51,,,,,1972-11-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1972-12,,quarterly,43.51,,,,,1972-12-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1973-01,,quarterly,50.39,,,,,1973-01-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1973-02,,quarterly,50.39,,,,,1973-02-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1973-03,,quarterly,50.39,,,,,1973-03-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1973-04,,quarterly,44.24,,,,,1973-04-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1973-05,,quarterly,44.24,,,,,1973-05-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1973-06,,quarterly,44.24,,,,,1973-06-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1973-07,,quarterly,33.75,,,,,1973-07-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1973-08,,quarterly,33.75,,,,,1973-08-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1973-09,,quarterly,33.75,,,,,1973-09-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1973-10,,quarterly,26.24,,,,,1973-10-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1973-11,,quarterly,26.24,,,,,1973-11-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1973-12,,quarterly,26.24,,,,,1973-12-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1974-01,,quarterly,14.92,,,,,1974-01-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1974-02,,quarterly,14.92,,,,,1974-02-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1974-03,,quarterly,14.92,,,,,1974-03-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1974-04,,quarterly,9.73,,,,,1974-04-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1974-05,,quarterly,9.73,,,,,1974-05-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1974-06,,quarterly,9.73,,,,,1974-06-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1974-07,,quarterly,3.74,,,,,1974-07-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1974-08,,quarterly,3.74,,,,,1974-08-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1974-09,,quarterly,3.74,,,,,1974-09-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1974-10,,quarterly,3.93,,,,,1974-10-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1974-11,,quarterly,3.93,,,,,1974-11-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1974-12,,quarterly,3.93,,,,,1974-12-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1975-01,,quarterly,2.96,,,,,1975-01-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1975-02,,quarterly,2.96,,,,,1975-02-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1975-03,,quarterly,2.96,,,,,1975-03-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1975-04,,quarterly,5.45,,,,,1975-04-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1975-05,,quarterly,5.45,,,,,1975-05-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1975-06,,quarterly,5.45,,,,,1975-06-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1975-07,,quarterly,7.66,,,,,1975-07-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1975-08,,quarterly,7.66,,,,,1975-08-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1975-09,,quarterly,7.66,,,,,1975-09-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1975-10,,quarterly,7.33,,,,,1975-10-01
